comment_id,entry_id,author_id,owner_id,comment_body,,,class
117,437,3129,0,Both my daughters did a semester in England and I was able to visit each one of them.  I agree with you that travel opens a part of the mind that stays closed off unless it gets to experience different cultures.,,,1
118,433,3129,0,Sounds like a fantastic cultural experience.  I have also visited Germany on several occasions.,,,0
119,436,3129,0,I was fortunate to attend Thon in 2015 as a spectator when my daughter danced.  I agree with you that it is one of the highlights in my life the caring and energy in the building was something to behold.,,,0
120,448,3129,0,Theory is nice and needed but isn't it always great to build something and see how it goes?  Also to realize the satisfaction.,,,1
121,281,3129,0,"Is it as good as the Sandra Bullock movie """"Gravity""""?",,,0
122,43,3129,0,Congrats for becoming involved in Thon it is truly a fantastic student led enterprise.,,,0
123,51,3129,0,Thank you for all your service!,,,0
124,419,3129,0,Where do you find the time?  It would be interesting to hear more about your study abroad experiences.,,,0
126,422,3116,0,Your dedication to this wonderful project demonstrates commitment and competence that will be valuable to employers. Your efforts to create beauty in the community will be enjoyed for many years to come!,,,1
127,429,3116,0,Your reflection upon these experiences demonstrates competence that will be valuable to employers.,,,1
128,449,3116,0,The skills learned from experiences like this will be applicable in many work situations.,,,1
129,197,3116,0,Communication skills are vital in every profession and it's great that you recognize this. You might enjoy this article posted last year in Forbes on this topic:  http://www.forbes.com/sites/gregsatell/2015/02/06/why-communication-is-todays-most-important-skill/#5a6ac1873638,,,1
130,437,3116,0,Your reflection upon this experience shows maturity that many never attain. Stepping outside your comfort zone opens the door to wonderful new life experiences.  Meeting new people who have different perspectives and backgrounds can help you become a more open-minded individual which is a valuable attribute that will help you succeed not just as an employee but in all aspects of your life.,,,1
132,31,3114,0,Very nice to see initiative and follow through on a project that made a difference in the community. Well Done!,,,1
133,30,3114,0,Great to see that you are part of a group which encourages an open discussion of ideas and learning about the perspectives / views of others. I would think this is a great learning experience and a terrific way to learn to work and understand how to work with diverse groups.,,,1
134,67,3114,0,First thank you for being part of such a great cause and making your school and classmates proud. What a great experience and happy to see you take pride in supporting your dancer and the cause.,,,0
135,70,3114,0,Great to see that you aren't afraid to take risks and welcome the opportunity to learn. Sounds like a memorable experience!,,,1
136,125,3114,0,"Very nice to see that you are working to gain """"hands-on"""" experience. Learning the technical part is just as important as interacting with clients. Keep up the good work!",,,1
137,456,3130,0,its great to see you get excited about the racing but also about the technical and organizational skills that are required to make it happen.  Have you looked at the Formula SAE team as a way for experience?  its a great way to get your hands dirty get some experience with competition and is a real good gateway into the auto industry - including racing programs.,,,1
140,158,3126,0,Christina: Your academics are impressive!  Beyond your GPA your being an Engineering Ambassador will serve you well.  It took me a LONG time to learn what you already must know that being that engineers who can communicates have far more value than those who cannot.  The EA program that Dr. Thole created is a shining example of communicating for engineering good so kudos to you for embracing that program.  Another beyond academic attribute that the Volvo Group supports is Women in Engrg.,,,1
160,354,3131,0,Hi Jack Communication is one of the key elements to success in professional world. At Siemens we offer multiple development programs where you will be fully integrated into a team working to solve global problems. You will not only need to communicate with colleagues locally but in some cases around the world. Solid communication and teamwork is one of the key drivers to Siemens success.,,,1
161,158,3131,0,Hi Christina Getting to know your teammates in a setting outside of work school or lab can be very beneficial. It builds stronger relationships and increases trust. At Siemens we have development programs which allow you to grow relationship professionally but also personally with the members of your cohort and with previous classes of your development program.,,,1
166,696,3209,0,Leading by example is a great way to demonstrate leadership ability. Being passionate about the sport and being driven to do well allowed you to set a postive example for fellow team members to follow suit.,,,1
167,694,3209,0,This sounds like such a wonderful experience in learning how to serve others. And this type of experience gives you a better understanding of what it means to be a business person who creates positive impacts in their community. I'm thinking how this experience plays into the idea of Corporate Social Responsibility for organizations and how you already have an idea of what it means for a company to be socially responsible.,,,1
169,690,3209,0,Hands-on experience is often one of the best teachers. It shows initiative on your part to seek out an internship opportunity especially in a new environment (hotel) as well as trying to solve problems on your own before going to a manager. This experience of learning-through-doing seemed to be beneficial to you in your understanding of working with others who come from different backgrounds and perspectives.,,,1
170,660,3209,0,Having the opportunity to participate in an event like this helps build your creative thinking skills as well as develop teamwork skills. You should definitely be proud of your work! The more you experience activities like this the more you'll be pushed to think in new ways build confidence in your presentation skills as well as expand your industry connections through networking.,,,1
171,655,3209,0,In addition to knowing what you want to do knowing how to get there is just as as important. It's great that you have found something which you are so evidently passionate about. Having a plan to seek out educational and experiential opportunities like you've done will help you in reaching your goals.,,,1
172,646,3209,0,I'm glad you had the opportunity to show others a part of your culture and you should feel proud of the work you put into this event. This experience shows you that we often need to be patient with ourselves and with our work. Though we live in a culture that is very much driven by 'busyness' and getting things done as quickly as possible your experience here shows that taking time putting forth effort and really trying produces a positive result.,,,1
173,481,3209,0,I like that you didn't just say you gave a speech but said what it was about. A comparison to Finding Nemo! - sounds creative and like something you put time into!,,,1
174,472,3209,0,Community involvement and volunteer opportunities are great things to be a part of. Taking time out of your own schedule to help others shows you care about individuals in your community.,,,1
176,543,3209,0,Being able to influence others to create positive change is a wonderful skill to have. This shows you are able to organize events understand fundraising and care about the environment. Hopefully you'll be able to initiate these same skills and interests in your work environment to help your place of work consider their own impact on the environment.,,,1
177,471,3209,0,As a fellow Zeta I'm always pleased to see ZTA continually being one of the top fundraising Greek organizations at Penn State. The opportunities to get involved in one's Greek organization are numerous and will serve you well in developing leadership roles and decision-making skills.,,,1
178,659,3209,0,Seeking out experiences like this can lead you to areas of work that you hadn't considered before. Plus it is beneficial in building your networking connections. Being wiling to expand on your curiosity by actually trying or doing things will help guide you in your decision  making process in the future.,,,1
179,591,3209,0,Seeking out opportunities like this allows you to engage in an area of work that you may not have seriously considered before. Plus trying new things and getting certifications like this can give you an edge over other individuals when looking for future internships or employment.,,,1
180,505,3209,0,What positive thinking and action on your end! It can take courage to 'go against the flow' especially if you feel you are being treated differently due to gender race sexual orientation etc. Keep being empowered by who you are and you will continue to be a powerful example to the women you work with.,,,1
181,504,3209,0,Being curious and seeking out connections with others will definitely work to your advantage. By experiencing new opportunities you may come across a part of the industry that you never considered working in. Keep making connections going on available trips and staying curious!,,,1
182,504,3212,0,"Great reflection! It seemed like a nice opportunity to go on a hotel show. Maybe you can provide more details about the """"presentation skills"""" you mentioned in the skills tag.",,,1
183,502,3213,0,One of the under-appreciated aspects of interning outside of your home town is that it can give you a better idea of where would be an ideal place to live after school. It sounds like you had a fantastic experience!,,,1
184,664,3212,0,"Excellent point about the """"no guarantee"""" mindset! It seems that you learned a lot from your experience.",,,0
185,556,3212,0,Excellent! You provided a lot of detail about how you started and run your club and I found your experiences quite interesting.,,,1
186,503,3213,0,THON is an awesome event for the way it brings together the organizers participants donors and families to make a big and positive change in the world. It's an honor to say that you participated!,,,0
187,504,3213,0,Great reflection. It seems like it was a nice opportunity to travel with PSHRS.,,,0
189,501,3213,0,Nice detail. Your experiences that span years are great for talking points because they show the things that matter to you in addition to what you're good at.,,,1
190,495,3212,0,Great reflection! It seems like this was a memorable experience where you learned to adapt yourself to a different culture and communicate with people from different background.,,,0
191,554,3213,0,This experience sounds like a lot of fun. You got to raise money for a great cause and bond with your brothers in the process. Good initiative!,,,0
192,557,3213,0,Wow not only did you get to see the world but you did it while showcasing your talents! The conversations you have with people while abroad are a special chance to learn about other cultures.,,,1
193,667,3212,0,I enjoyed reading your reflection! It seemed to be so much fun and you learned a lot.,,,0
194,641,3213,0,Ha! This reflection certainly stands out! It makes for a good story.,,,0
195,664,3213,0,Self-awareness is critical to any social interaction. Good reflection.,,,0
196,605,3212,0,Excellent point! It seems that you learned a lot from your experiences.,,,0
197,584,3212,0,Great experience! If I were a recruiter I would like to know more about you.,,,0
198,685,3212,0,Great experience! Try to elaborate more on your takeaways from this experience. You’re off to a great start.,,,1
199,590,3212,0,It seems as though you learned about time management from this experience. Pay attention to one typo in this entry.,,,1
200,472,3212,0,It seems you had fun in this experience and you learned a lot. Try to elaborate more on your takeaways and pay attention to the typos.,,,1
201,607,3212,0,Excellent! You provided a lot of details and I found your experiences quite interesting.,,,1
202,556,3213,0,Great reflection. It's great that you took something you are passionate about and made it something that could be shared with others.,,,1
203,561,3213,0,It's great that you were able to provide help to people who couldn't help themselves and did so with great success.,,,0
204,567,3213,0,I also started in ME. My reasons for switching were the same and I likewise now have an HR focus. It is relieving to be studying something that you know is a good fit especially after starting on a different path.,,,1
205,585,3213,0,To be able to incorporate a passion like cooking into your future vocation will be rewarding for years to come. Excellent reflection.,,,0
206,668,3213,0,It sounds like you showed a lot of maturity in accepting the situation and taking the initiative to go about solving it. Good reflection!,,,0
207,688,3213,0,That's a crazy experience! Ideally you wouldn't been properly trained over the course of several shifts but it sounds like you did a great job thinking on your feet.,,,0
208,695,3213,0,You could include some more detail but this does sound like a fun event to see through to its fruition.,,,1
209,496,3213,0,Athletics definitely teach a lot of valuable life skills in addition to improving and maintaining good fitness. It sounds like you took even more away from cross country being a leader on your team.,,,1
210,497,3213,0,It sounds like you learned a lot in this experience and in a gorgeous location. Good marketing relies on knowing your selling points and it helps to have your own experience backing those selling points.,,,1
211,610,3213,0,This was amusing to read! Sometimes you have to serve customers who know the product better or at least have their own biases about it. At any rate I would recommend taking HM 411 Beverage Management if you expect to encounter similar scenarios in your future career.,,,1
212,613,3213,0,Beaver Stadium is really unlike any other place in the world. Hours of driving through PA with nothing but small towns and then you see one of the biggest stadiums in the world in what seems like the middle of nowhere. Even if there are so many thousands of people at every game going there is an experience unique to you as a Penn State student.,,,0
213,603,3213,0,Nashville is an amazing city and to handle the navigation required to get there is no small accomplishment if you haven't traveled long distances before. Great reflection!,,,0
214,604,3213,0,It's cool that you can point to this experience and say that this is where your interest in hospitality sprang from. Taking time to reflect on experiences such as these is a good way to remind yourself of how you got where you are today.,,,1
215,565,3213,0,Great reflection. It sounds like you used a great opportunity well.,,,0
216,577,3213,0,It's cool that you got to see a direct cause and effect for your efforts. Nice job!,,,0
217,685,3213,0,Traveling alone and for an entire month! That's an incredible experience; good reflection.,,,0
218,693,3213,0,Toronto is a cool city and it must have been especially fun to go there on a whim. That's the first step to it being an adventure is not knowing exactly what you'll be doing. Taking risks on your way definitely contributed to the value of this experience.,,,1
219,583,3213,0,Great job but please elaborate more.,,,0
220,586,3213,0,Excellent. It sounds like a great experience to have started a club around a shared interest with others. The food looks really good too.,,,0
221,484,3213,0,Sometimes the only way to learn is the hard way! Good reflection.,,,0
222,483,3213,0,While I can assure you that you're not alone in enjoying running it's great that you found it to be something so enjoyable. Running is a great hobby for people who like to set goals for themselves and it will be all the more rewarding for you as you achieve them.,,,1
223,606,3213,0,This sounds like it was a great experience and that you learned a lot. Good job!,,,0
224,607,3213,0,Engaging with people in the context of helping them out is always a rewarding experience! Excellent reflection.,,,0
225,540,3213,0,It's great that you have the initiative to bring something like your band to life. The logistics of organizing a band don't seem as fun as performing but your buckling down and doing them shows your passion for something you care about.,,,1
226,547,3213,0,This is an interesting and unique experience. Great reflection!,,,0
227,612,3213,0,Having practical hands-on skills is something that sets you apart. So does the problem solving you need to use those skills. Great reflection!,,,1
229,536,3213,0,It's great that you got promoted and in such a short span of time. It's always nice to be recognized for competence on the job and rewarded accordingly. Great reflection!,,,0
230,544,3213,0,THON is a truly special event and one that's exclusive to your experience at Penn State. Excellent reflection.,,,0
231,486,3213,0,Great reflection! It sounds like it was a memorable experience that you learned a lot from.,,,0
232,489,3213,0,What an adventure! Great details.,,,0
234,633,3213,0,This sounds like a huge commitment and one that was hugely rewarding. Excellent job!,,,0
236,473,3213,0,It's great that you got to be involved in THON! It's truly unique to the Penn State experience and there are so many ways to make a difference. It sounds like you made the most of your first year of involement!,,,0
237,476,3213,0,A long term commitment to any activity is admirable. The volunteering experiences and skills you learned along the way are irreplaceable. Great reflection!,,,1
238,686,3213,0,It's cool that your interest in hospitality has so much personal history to it. Great reflection!,,,1
239,658,3213,0,This sounds like it was a fun time. Good reflection!,,,0
240,657,3213,0,Good experience but please elaborate some more.,,,1
241,632,3213,0,THON is a great experience to have especially as it is so unique to the Penn State experience. Great reflection!,,,0
242,643,3213,0,Studying abroad must have given you a wealth of experiences you wouldn't have had staying in the States. Excellent reflection.,,,0
243,532,3213,0,Your writing style is enjoyable to read. Good reflection!,,,0
244,533,3213,0,It's nice you were able to walk away from a loss without letting it get to you. Excellent reflection!,,,0
245,636,3213,0,This sounds like it was an awesome experience for developing and using your leadership skills. Great job!,,,1
246,640,3213,0,This sounds like it was a fun time and a good way to show other people some of your own background. Great reflection!,,,0
247,698,3213,0,Your enthusiasm for your involvements is obvious! Great reflection.,,,0
248,699,3213,0,It's cool that you were able to take the initiative here and make some real progress. Nice job!,,,0
249,493,3213,0,Great job! You did well elaborating on your time visiting the west coast.,,,0
250,512,3213,0,Wow you have a great testimony for why you THON. Excellent reflection on your personal experience.,,,0
251,479,3213,0,Wow most people can't say they've saved a life. This is a superb reflection.,,,0
252,480,3213,0,Marching band is full of lessons that come with it being an extended commitment during high school. Nice work on this reflection.,,,0
254,655,3213,0,It's cool that you can point to a specific experience that made you realize your dream of opening a restaurant. Best of luck as you pursue this dream!,,,0
255,469,3213,0,It sounds like it was a wonderful trip! Great reflection.,,,0
256,470,3213,0,You must have learned a lot from this experience. Nice work!,,,0
257,517,3213,0,Wow that must have taken a lot of time and effort! That it went so well is a testament to the careful preparation you put into it. Great reflection.,,,0
260,513,3213,0,Helping others while receiving nothing in return is supremely rewarding. It's great you had this opportunity! Good reflection.,,,0
263,581,3213,0,Excellent! It sounds like you learned a lot from this experience.,,,0
264,578,3213,0,The best motivation for setting goals is succeeding at achieving your previous ones. Great work!,,,0
265,547,3212,0,Awesome experience! You provided a lot of details and it seemed like you learned a lot. (Actually I'm going to the Arts Crawl this Friday:),,,0
267,544,3212,0,I enjoyed reading your reflection. You provided a lot of details and it seemed like you learned a lot!,,,0
268,599,3212,0,It sounds like you've learned a lot from the experience of running. That kind of insight will certainly be useful as you pursue your future career.,,,0
269,539,3212,0,Interesting title:) And it sounds like this was a memorable experience.,,,0
270,660,3212,0,Great reflection! It seemed like a nice opportunity where you got the chance to sharpen your presentation skills and network with people.,,,1
272,505,3212,0,Your experiences sound like they changed the way you understand how to build on your leadership which will certainly be useful as you pursue your future career.,,,1
273,566,3212,0,Awesome experiences! Try to elaborate more on your takeaways from this experience. You’re off to a great start.,,,1
274,548,3212,0,It is so cool that you've been a volunteer for Obama Campaign! Try to elaborate more on your takeaways from this experience.,,,1
275,638,3212,0,I enjoyed reading your reflection. It seemed like you learned a lot from this trip. Pay attention to few typos though.,,,1
277,594,3212,0,Excellent reflection! I like how you elaborated your experience as a yearbook staff and that experience will definitely be helpful for your future career.,,,1
278,576,3212,0,Great experience! Also it looks like you've learned a lot which could definitely be useful for your future career.,,,0
279,647,3212,0,Great experience! Try to elaborate more on your takeaways from this experience. Also pay attention to few typos.,,,1
280,579,3212,0,Great reflection! It sounds like you learned a lot in this experience which for sure will be helpful for future career.,,,0
281,553,3212,0,Nice reflection! You provided a lot of details. Try to elaborate more on your takeaways from this experience.,,,1
284,473,3214,0,I enjoyed reading your reflection. It seems like you learned a lot.,,,0
286,697,3214,0,Very well structured post. Your portfolio is coming along well.,,,1
288,643,3214,0,Excellent reflection you provided a lot of detail and I found your experiences quite interesting.,,,0
290,537,3214,0,You are a talented writer keep up the great work!,,,0
291,663,3214,0,It's always good to have 'reach goals' very good reflection.,,,0
292,678,3214,0,You are a talented writer. Keep up the great work.,,,0
293,690,3214,0,I enjoyed reading your reflection it seems like you learned a lot.,,,0
294,493,3214,0,Excellent point! It seems that you learned a lot from your experience!,,,0
295,492,3214,0,Very well structured post. Your portfolio is coming along well!,,,1
296,479,3214,0,It seems like this was a memorable experience great reflection!,,,0
297,478,3214,0,Very nice accomplishment! What a great opportunity for you,,,0
298,470,3214,0,What a great experience and opportunity I enjoyed this reflection.,,,0
299,468,3214,0,Very well structured post. It's always good to help others when you can. Your portfolio is coming along well!,,,1
300,507,3214,0,It seems like you got a lot out of this trip! Great reflection!,,,0
301,506,3214,0,Seems like a great cultural experience!,,,0
302,513,3214,0,Work camp is always a good opportunity to help others I enjoyed reading your reflection.,,,0
305,619,3214,0,Great job but please elaborate a little more.,,,1
306,578,3214,0,Excellent. You provided a lot of detail and I found your post to be interesting. We are!,,,1
309,659,3214,0,What a great experience this must have been nice post!,,,0
310,674,3214,0,Great cultural experience it seems like you learned a lot.,,,0
312,599,3214,0,I enjoyed reading your reflection it seems like you learned a lot!,,,0
313,539,3214,0,You are a talented writer. Keep up the great work!,,,0
314,591,3214,0,Bartending is always a stressful environment great reflection!,,,0
315,660,3214,0,Nice job! It seems that this was a diverse experience!,,,0
316,477,3214,0,Wow what a great experience you must've had very nice post!,,,0
318,683,3214,0,Excellent. You provided a lot of detail and I found your experience to be very interesting!,,,0
319,676,3214,0,You are a talented writer. Great cultural take away!,,,0
323,574,3214,0,Great reflection! It seemed like a nice opportunity.,,,0
324,545,3214,0,Very well structured post your portfolio is coming along well. We are!,,,0
325,549,3214,0,It seems like this was a memorable experience giving back to the community.,,,0
326,638,3214,0,Great cultural experience I enjoyed reading your reflection.,,,0
330,594,3214,0,Excellent. Your provided a lot of detail and I found your experience quite interesting.,,,1
332,592,3214,0,You are a talented writer. Keep up the great work with your portfolio!,,,0
333,564,3214,0,What a great cultural experience it seems like you learned a lot!,,,0
336,560,3214,0,Great job try to elaborate more. Seems like a nice cultural experience!,,,1
337,588,3214,0,Nice job! It seems that you learned and have a diverse set of skills.,,,0
338,558,3214,0,Excellent. You provided a lot of detail and I found your experience quite interesting.,,,0
339,573,3214,0,Great reflection. It seemed like a nice opportunity with NHS.,,,0
344,667,3209,0,Exploring and traveling will continue to teach you a lot about yourself as well as others. Don't stop exploring. Don't stop learning.,,,1
346,663,3209,0,Making connections like this one are so important in the industry. By taking the initiative to apply for this position you have set yourself ahead of others who may have looked at the qualifications and not applied. You now have your 'foot in the door' by having networked and made a contact at the company. Keep taking the initiative and it will pay off!,,,1
347,540,3209,0,What a unique experience in order to develop your problem solving and adaptability skills! This experience shows your leadership ability as well as taking initiative to make things happen.,,,1
348,592,3209,0,Sometimes what seems like the scariest experiences can lead to the most rewarding ones! Being able to adapt to new situations is important and it sounds like you were able to make the most of your situation learn and grow!,,,1
349,612,3209,0,What a unique experience to learn how to problem solve and be adaptable. This is a great example of showing how you work well with others especially under pressure!,,,1
350,568,3209,0,Being able to 'see things from the other person's perspective' will help you go far in life - it also shows you are able to see more than one side/view to a situation.,,,1
420,126,3129,0,Congratulations Kurt if you get a chance let us know how the launch goes.  What is the biggest challenge and how did you solve it?,,,1
421,187,3129,0,Interesting comments for a stir fry dinner!  Who won the contest for eating the most?,,,0
422,155,3129,0,That is also the job I did for one summer many years ago.  Did you have any close calls falling off as I did?,,,0
423,264,3129,0,Interesting how such a small social event can build bonds to create a better team.,,,0
424,185,3129,0,Good comments.  In the engineering world ideas can be relatively easy to come by but the execution is not always so easy.,,,0
425,435,3129,0,Best of luck to you.  Did you cover the security aspect of this type of app?,,,0
426,732,3273,0,Monica - it's great that you were able to recognize the importance of learning the strengths/skills of your teammates. In both the collegiate and (especially) the professional world it's essential that you are able to quickly and effectively identify the strengths/weaknesses with those you are working with - whether they be your employees peers or senior to you. Another key is to be able to leverage those insights into making good decisions about team structure communications,,,1
427,725,3273,0,Jordan - time constraints are never fun! You get plenty of practice with individual time management in college but it was nice to see you being in a situation where you all were dependent on each other and had to use your communication and leadership skills to ensure you stayed on track. This is very representative of the working world where you almost always are depending on work from other to complete your tasks or someone is depending on you. Clear communication is crucial.,,,1
428,733,3273,0,"Manuel - good insight about being assertive and owning the interview. You definitely want to be an active participant. Also remember that an interview is just as much about finding out whether the company is a good fit for YOU as it is them finding out if you'll be a good fit for that company. Be prepared do your """"homework"""" on the company and have meaningful intelligent questions that make your interviewer think. Doing so can help show how well you think",,,1
429,508,3275,0,This is a good story but doesn't seem to match the Community Service heading that I clicked on. So under the Community Service tab maybe you can use a different example that shows some community service you participated in.,,,1
430,699,3275,0,I am happy that you now include travelling in your set of interests. Visiting new places and being curious about new cultures and people is an excellent asset for working in the hospitality field. Plus you can use your own travel experiences as a topic of conversation so as to better connect with guests and as an ice breaker in social situations to ask about the travel experiences of others. Travel on!!!,,,1
431,698,3275,0,Keep up the good work with children as you volunteer for things in the future. You will always learn something just as you did in the story above.,,,1
433,732,3258,0,Hi Monica! Your resume is looking good. May I recommend elaborating more on the skills you acquired during your internship? Tell me more about how you clarified internal medicine procedures. Describe your role in the treatment reviews. You may consider writing a story on your board about the internship and what skills you acquired to help organizations understand your skills sets more.,,,1
434,725,3258,0,Hi Jordan you have a great GPA and have identified some good skills.  Companies would value seeing your resume if you post too.,,,1
435,735,3258,0,Hi Nina your resume highlights a lot of exposure and skills from your internship - great job at sharing these details and keep up the great work with the dean's list! A recommendation for your resume is to capture any additional interests activities clubs or additional languages you speak.,,,1
436,733,3258,0,Hi Manuel great job highlighting some of your key skills organization and interests. Consider adding your resume - companies would be interested in accessing your resume through this page.,,,1
442,403,2820,0,We’re thrilled to see students like you taking initiative to improve engagement in your community. Check out this article that offers new ideas for improving engagement (http://www.example.com/article). We’ll stay in touch!,,,1
445,1028,3344,0,Grant - Good reflection. As you continue group work throughout the rest of your time at Penn State and in other endeavors consider the positives and negatives of strictly defined roles and goals. Can you think of an experience you have had where you were unable to step out of a defined role that limited you from experiences? Have you ever worked in a group that set goals that were too feasible to start with thereby limiting the groups potential?,,,1
446,899,3344,0,Natalie - Great observations and connections with the activity and plans for SHO Time moving forward. You mentioned that you believe that trust is the most important skill when it comes to making a team effective. How do you feel trust is built effectively within a team? How does the trust you have among a team you work with for a project differ from the trust you have in your friends? Is there a certain level of trust that needs to be reached within a group? If so how is that level determined ;1;,,,1
448,1032,3344,0,Joe - Great job referencing your experiences in your first-year CAS class. You mentioned the organizational meeting your team had towards the end of the project in order to iron out key details that needed to be addressed in order to make progress. How do you create the same kind of pressure artificially 5 weeks before a project is due? What role does getting to know the people with whom you are working serve in that meeting? Would assigning roles too early be detrimental to the creativity of th,,,1
449,979,3344,0,Sneha - Nice job referencing your experience in Engineering Design 100H. You mentioned how you were able get to know and understand the individuals within the group you worked with more over the course over the semester. However the main portion of SHO Time is much more condensed. How would you approach misunderstandings or conflicts between your mentees? How will you allow them the chance to get to learn more about one another.,,,1
450,908,3344,0,Marisa - Thank you for sharing your previous experiences of working in groups. In SHO Time plenty of the work is delegated for the mentors. However there are certainly opportunities to go beyond what is asked of you. How will you balance your contributions to SHO Time while ensuring that you are allotting the appropriate amount of time to your group and to yourself?,,,1
451,899,3344,0,and how might it differ from one group member to another?,,,0
452,867,3344,0,Alex - Nice job focusing on our discussion of the unexpected issues arising during the course of SHO Time such as a student being unable to attend certain events. You mention that even if a scholar is unable to attend events SHO Time is important in that it helps foster inter-student relationships through substantial conversation. How would you ensure that for a student who for one reason or another is unable to attend certain events?,,,1
453,867,3344,0,Alex - Nice job focusing on our discussion of the unexpected issues arising during the course of SHO Time such as a student being unable to attend certain events. You mention that even if a scholar is unable to attend events SHO Time is important in that it helps foster inter-student relationships through substantial conversation. How would you ensure that a student who for one reason or another is unable to attend certain events is still able to get the most out of SHO Time?,,,1
454,931,3344,0,"Good reflection Alex! SHO Time features a lot of different events that different types of students tend to be more comfortable with. What will you do to make sure that all students gain the most of each event for their own personal growth? To what degree is it necessary to alter the """"plan"""" to aid certain students and to what degree is it necessary to try to push students outside their comfort zones?",,,1
455,871,3351,0,Thank you for participating so much in our group discussion. Your fresh comical insights kept our committee's time on Old Main Lawn fun and lively. Remember these observed interactions when SHO Time arrives this fall as many freshman will be nervous trying to impress others and gauge others investment levels in newfound relationships!,,,1
456,873,3351,0,Thank you Carolyn! This is a great point to remember come SHO Time this August. While we cannot force our mentees to put away their phones we can encourage them to stay involved in their immediate surroundings as the relationships they make during SHO Time will remain with them for the rest of their lives at PSU!,,,0
457,896,3344,0,Thank you for sharing your Personal Mission Statement Tessa. It is clear that you are very motivated to have an impact on others and to give yourself the opportunity to grow and learn new things. As we move towards SHO Time consider what you will do to create an environment that lends itself for other students to be open about their goals and share their aspirations for their time at Penn State?,,,1
458,899,3353,0,Natalie this was a very well-written post. I can see that you thought deeply on the topic of teamwork and its connections to SHO TIME. The few days of SHO TIME will be extremely busy and can definitely be stressful. Having strong teamwork prior to and during those days will be crucial to both the success of the events and to the enjoyment of the incoming students. I completely agree with you about trust. It really is an indispensable skill in any work setting or other life event.,,,1
459,867,3353,0,Alex I really enjoyed how you provided a specific example where maintaining the relationship is key: when a mentee isn't able to make an event. It's very likely that can happen. Like you said SHO TIME is meant to foster the relationships among the incoming students. Having that dialogue with a student who may be unable to attend an event is crucial to developing the mentor-mentee relationship. We should all be aware of keeping such connections as they can really improve any students' time.,,,1
460,931,3353,0,Alex I completely agree with your post. There are times when a student may not feel included in the activities for many reasons. You make a strong point: that being a Schreyer Scholar implies that you have what it takes to improve other lives. We all have what it takes. If for example an incoming student does seem to be shy I suggest we try and nudge them a little bit. We shouldn't push them too far out of their comfort zones,,,1
461,1032,3353,0,Joe I really enjoyed reading the specific experience you had with group interactions and teamwork. I could not agree more on the stress you place on effective communication and early defining of roles within groups. Having such in place won't be all that is necessary to succeed but they will surely set any group on the right foot. That's why we have so many meetings throughout the semester planning out the details for SHO TIME and making sure everyone is updated on each others' roles.,,,1
