"skillID";"skillLabel";"isTypeIB";"header";"predictable";"abbrev";"color";"textcolor"
49;"Using Questioning and Discussion Techniques";2;"";0;"";"";""
50;"Engaging Students in Learning";2;"";0;"";"";""
51;"Providing Feedback to Students";2;"";0;"";"";""
52;"Demonstrating Flexibility and Responsiveness";2;"";0;"";"";""
53;"Reflecting on Teaching";2;"";0;"";"";""
54;"Maintaining Accurate Records";2;"";0;"";"";""
55;"Communicating with Families";2;"";0;"";"";""
56;"Contributing to the School and District";2;"";0;"";"";""
57;"Growing and Developing Professionally";2;"";0;"";"";""
58;"Showing Professionalism";2;"";0;"";"";""
59;"PYP";-1;"Programme";0;"";"";""
60;"MYP";-1;"Programme";0;"";"";""
61;"DP";-1;"Programme";0;"";"";""
62;"CP";-1;"Programme";0;"";"";""
63;"Ladder of Inference";-1;"CS Component";0;"";"";""
64;"Ladder of Connectedness";-1;"CS Component";0;"";"";""
65;"Iceberg";-1;"CS Component";0;"";"";""
66;"Left –Hand Column Case";-1;"CS Component";0;"";"";""
67;"Stock-flow structure";-1;"CS Component";0;"";"";""
68;"ATL";-1;"IB Components";0;"";"";""
69;"Inquiry Cycle";-1;"IB Components";0;"";"";""
70;"Learner Profile";-1;"IB Components";0;"";"";""
71;"Transdisciplinary Skills";-1;"IB Components";0;"";"";""
72;"Science";-1;"IB Components";0;"";"";""
73;"Maths";-1;"IB Components";0;"";"";""
74;"History";-1;"IB Components";0;"";"";""
75;"Social Field";-1;"CS Component";0;"";"";""
76;"Opening check in circle";-1;"CS Component";0;"";"";""
77;"Mandala";-1;"CS Component";0;"";"";""
78;"Model for thinking and caring";-1;"CS Component";0;"";"";""
79;"Three legged stool";-1;"CS Component";0;"";"";""
80;"Reverse Check in";-1;"CS Component";0;"";"";""
81;"Empathy (silent) check in";-1;"CS Component";0;"";"";""
82;"Unbendable arm and Vision Principle";-1;"CS Component";0;"";"";""
83;"Creative Tension";-1;"CS Component";0;"";"";""
84;"Applied learning cycle";-1;"CS Component";0;"";"";""
85;"5Es framework";-1;"CS Component";0;"";"";""
86;"Open heart meditation";-1;"CS Component";0;"";"";""
87;"Just like me meditation";-1;"CS Component";0;"";"";""
88;"Extension of loving meditation";-1;"CS Component";0;"";"";""
89;"Closing peace keeping circle";-1;"CS Component";0;"";"";""
90;"Approaches to Learning";3;"";0;"";"";""
91;"Approaches to Teaching";3;"";0;"";"";""
92;"Connected Curriculum";3;"";0;"";"";""
93;"International-Mindedness";3;"";0;"";"";""
94;"Learner Profile";3;"";0;"";"";""
95;"Career Related Studies (CP)";3;"CP";0;"";"";""
96;"Core (CP)";3;"CP";0;"";"";""
97;"Individuals & Societies (CP)";3;"CP";0;"";"";""
98;"Language Acquisition (CP)";3;"CP";0;"";"";""
99;"Mathematics (CP)";3;"CP";0;"";"";""
100;"Sciences (CP)";3;"CP";0;"";"";""
101;"Studies in Language & Literature (CP)";3;"CP";0;"";"";""
102;"The Arts (CP)";3;"CP";0;"";"";""
103;"Core (DP)";3;"DP";0;"";"";""
104;"Individuals & Societies (DP)";3;"DP";0;"";"";""
105;"Language Acquisition (DP)";3;"DP";0;"";"";""
106;"Mathematics (DP)";3;"DP";0;"";"";""
107;"Sciences (DP)";3;"DP";0;"";"";""
108;"Studies in Language & Literature (DP)";3;"DP";0;"";"";""
109;"The Arts (DP)";3;"DP";0;"";"";""
110;"Arts (MYP)";3;"MYP";0;"";"";""
111;"Design (MYP)";3;"MYP";0;"";"";""
112;"Individuals & Societies (MYP)";3;"MYP";0;"";"";""
113;"Language & Literature (MYP)";3;"MYP";0;"";"";""
114;"Language Acquisition (MYP)";3;"MYP";0;"";"";""
115;"Mathematics (MYP)";3;"MYP";0;"";"";""
116;"Physical & Health Education (MYP)";3;"MYP";0;"";"";""
117;"Sciences (MYP)";3;"MYP";0;"";"";""
118;"How The World Works (PYP)";3;"PYP";0;"";"";""
119;"How We Express Ourselves (PYP)";3;"PYP";0;"";"";""
120;"How We Organize Ourselves (PYP)";3;"PYP";0;"";"";""
121;"Sharing the Planet (PYP)";3;"PYP";0;"";"";""
122;"Where We Are In Place & Time (PYP)";3;"PYP";0;"";"";""
123;"Who We Are (PYP)";3;"PYP";0;"";"";""
