comment_id,entry_id,author_id,comment_body,is_approved,class
145,148,3126,"Andrew: Your resume looks like a good fit for the products that Volvo Group North America makes here in the U.S.  You may want to explore employment opportunities with Mack or Volvo brand trucks, Nova transit buses, Prevost motor coaches, and/or Volvo Construction Equipment.
Best of Luck with Whatever Employment Comes Your Way/Skip Yeakel - Principal Engineer",1,0
160,354,3131,"Hi Jack,

Communication is one of the key elements to success in professional world. At Siemens we offer multiple development programs where you will be fully integrated into a team working to solve global problems. You will not only need to communicate with colleagues locally but in some cases around the world. Solid communication and teamwork is one of the key drivers to Siemens success.",0,1
161,158,3131,"Hi Christina,

Getting to know your teammates in a setting outside of work, school or lab can be very beneficial. It builds stronger relationships and increases trust. At Siemens we have development programs which allow you to grow relationship professionally but also personally with the members of your cohort and with previous classes of your development program.",0,1
166,696,3209,Leading by example is a great way to demonstrate leadership ability. Being passionate about the sport and being driven to do well allowed you to set a postive example for fellow team members to follow suit.,0,1
167,694,3209,"This sounds like such a wonderful experience in learning how to serve others. And, this type of experience gives you a better understanding of what it means to be a business person who creates positive impacts in their community. I'm thinking how this experience plays into the idea of Corporate Social Responsibility for organizations and how you already have an idea of what it means for a company to be socially responsible.",1,1
168,662,3209,Giving back to one's community is so important. It is great that you take the time out of your schedule to give back to members or aspects of the community. This is a good foundation to have as you enter into working for a business or organization where companies also have the ability to make positive impacts on their surrounding communities.,0,1
169,690,3209,"Hands-on experience is often one of the best teachers. It shows initiative on your part to seek out an internship opportunity, especially in a new environment (hotel), as well as trying to solve problems on your own before going to a manager. This experience of learning-through-doing seemed to be beneficial to you in your understanding of working with others who come from different backgrounds and perspectives.",1,1
170,660,3209,"Having the opportunity to participate in an event like this helps build your creative thinking skills, as well as develop teamwork skills. You should definitely be proud of your work! The more you experience activities like this the more you'll be pushed to think in new ways, build confidence in your presentation skills, as well as expand your industry connections through networking.",0,1
171,655,3209,"In addition to knowing what you want to do, knowing how to get there is just as as important. It's great that you have found something which you are so evidently passionate about. Having a plan to seek out educational and experiential opportunities, like you've done, will help you in reaching your goals.",0,1
172,646,3209,"I'm glad you had the opportunity to show others a part of your culture and you should feel proud of the work you put into this event. This experience shows you that we often need to be patient with ourselves and with our work. Though we live in a culture that is very much driven by 'busyness' and getting things done as quickly as possible, your experience here shows that taking time, putting forth effort, and really trying produces a positive result.",0,1
173,481,3209,I like that you didn't just say you gave a speech but said what it was about. A comparison to Finding Nemo! - sounds creative and like something you put time into!,0,0
174,472,3209,Community involvement and volunteer opportunities are great things to be a part of. Taking time out of your own schedule to help others shows you care about individuals in your community.,0,0
176,543,3209,"Being able to influence others to create positive change is a wonderful skill to have. This shows you are able to organize events, understand fundraising, and care about the environment. Hopefully you'll be able to initiate these same skills and interests in your work environment to help your place of work consider their own impact on the environment.",0,1
177,471,3209,"As a fellow Zeta, I'm always pleased to see ZTA continually being one of the top fundraising Greek organizations at Penn State. The opportunities to get involved in one's Greek organization are numerous and will serve you well in developing leadership roles and decision-making skills.",1,1
178,659,3209,"Seeking out experiences like this can lead you to areas of work that you hadn't considered before. Plus, it is beneficial in building your networking connections. Being wiling to expand on your curiosity by actually trying or doing things will help guide you in your decision  making process in the future.",0,1
179,591,3209,"Seeking out opportunities like this allows you to engage in an area of work that you may not have seriously considered before. Plus, trying new things, and getting certifications like this, can give you an edge over other individuals when looking for future internships or employment.",0,1
180,505,3209,"What positive thinking and action on your end! It can take courage to 'go against the flow', especially if you feel you are being treated differently due to gender, race, sexual orientation, etc. Keep being empowered by who you are and you will continue to be a powerful example to the women you work with.",1,1
181,504,3209,"Being curious and seeking out connections with others will definitely work to your advantage. By experiencing new opportunities you may come across a part of the industry that you never considered working in. Keep making connections, going on available trips, and staying curious!",0,1
182,504,3212,"Great reflection! It seemed like a nice opportunity to go on a hotel show. Maybe you can provide more details about the """"presentation skills"""" you mentioned in the skills tag.",0,0
183,502,3213,One of the under-appreciated aspects of interning outside of your home town is that it can give you a better idea of where would be an ideal place to live after school. It sounds like you had a fantastic experience!,0,1
184,664,3212,"Excellent point about the """"no guarantee"""" mindset! It seems that you learned a lot from your experience.",0,0
185,556,3212,"Excellent! You provided a lot of detail about how you started and run your club, and I found your experiences quite interesting.",1,0
186,503,3213,"THON is an awesome event for the way it brings together the organizers, participants, donors, and families to make a big and positive change in the world. It's an honor to say that you participated!",0,0
187,504,3213,Great reflection. It seems like it was a nice opportunity to travel with PSHRS.,0,0
188,675,3212,Great reflection! Try to elaborate more on your takeaways from this experience. You’re off to a great start.,1,0
189,501,3213,"Nice detail. Your experiences that span years are great for talking points because they show the things that matter to you, in addition to what you're good at.",0,0
190,495,3212,Great reflection! It seems like this was a memorable experience where you learned to adapt yourself to a different culture and communicate with people from different background.,1,1
191,554,3213,"This experience sounds like a lot of fun. You got to raise money for a great cause, and bond with your brothers in the process. Good initiative!",0,0
192,557,3213,"Wow, not only did you get to see the world, but you did it while showcasing your talents! The conversations you have with people while abroad are a special chance to learn about other cultures.",0,0
193,667,3212,I enjoyed reading your reflection! It seemed to be so much fun and you learned a lot.,1,0
194,641,3213,Ha! This reflection certainly stands out! It makes for a good story.,0,0
195,664,3213,Self-awareness is critical to any social interaction. Good reflection.,0,0
196,605,3212,Excellent point! It seems that you learned a lot from your experiences.,0,0
197,584,3212,"Great experience! If I were a recruiter, I would like to know more about you.",1,0
198,685,3212,Great experience! Try to elaborate more on your takeaways from this experience. You’re off to a great start.,0,0
199,590,3212,It seems as though you learned about time management from this experience. Pay attention to one typo in this entry.,0,0
200,472,3212,"It seems you had fun in this experience, and you learned a lot. Try to elaborate more on your takeaways and pay attention to the typos.",0,0
201,607,3212,Excellent! You provided a lot of details and I found your experiences quite interesting.,0,0
202,556,3213,Great reflection. It's great that you took something you are passionate about and made it something that could be shared with others.,1,0
203,561,3213,"It's great that you were able to provide help to people who couldn't help themselves, and did so with great success.",1,0
204,567,3213,"I also started in ME. My reasons for switching were the same, and I likewise now have an HR focus. It is relieving to be studying something that you know is a good fit, especially after starting on a different path.",1,0
205,585,3213,To be able to incorporate a passion like cooking into your future vocation will be rewarding for years to come. Excellent reflection.,1,0
206,668,3213,It sounds like you showed a lot of maturity in accepting the situation and taking the initiative to go about solving it. Good reflection!,0,0
207,688,3213,"That's a crazy experience! Ideally you wouldn't been properly trained over the course of several shifts, but it sounds like you did a great job thinking on your feet.",0,0
208,695,3213,"You could include some more detail, but this does sound like a fun event to see through to its fruition.",0,0
209,496,3213,"Athletics definitely teach a lot of valuable life skills in addition to improving and maintaining good fitness. It sounds like you took even more away from cross country, being a leader on your team.",1,0
210,497,3213,"It sounds like you learned a lot in this experience, and in a gorgeous location. Good marketing relies on knowing your selling points, and it helps to have your own experience backing those selling points.",1,0
211,610,3213,"This was amusing to read! Sometimes you have to serve customers who know the product better, or at least have their own biases about it. At any rate, I would recommend taking HM 411 Beverage Management if you expect to encounter similar scenarios in your future career.",1,1
212,613,3213,"Beaver Stadium is really unlike any other place in the world. Hours of driving through PA with nothing but small towns, and then you see one of the biggest stadiums in the world in what seems like the middle of nowhere. Even if there are so many thousands of people at every game, going there is an experience unique to you as a Penn State student.",1,1
213,603,3213,"Nashville is an amazing city, and to handle the navigation required to get there is no small accomplishment if you haven't traveled long distances before. Great reflection!",0,0
214,604,3213,It's cool that you can point to this experience and say that this is where your interest in hospitality sprang from. Taking time to reflect on experiences such as these is a good way to remind yourself of how you got where you are today.,0,0
215,565,3213,Great reflection. It sounds like you used a great opportunity well.,1,0
216,577,3213,It's cool that you got to see a direct cause and effect for your efforts. Nice job!,1,0
217,685,3213,Traveling alone and for an entire month! That's an incredible experience; good reflection.,0,0
218,693,3213,"Toronto is a cool city, and it must have been especially fun to go there on a whim. That's the first step to it being an adventure, is not knowing exactly what you'll be doing. Taking risks on your way definitely contributed to the value of this experience.",0,0
219,583,3213,"Great job, but please elaborate more.",0,0
220,586,3213,Excellent. It sounds like a great experience to have started a club around a shared interest with others. The food looks really good too.,0,0
221,484,3213,Sometimes the only way to learn is the hard way! Good reflection.,0,0
222,483,3213,"While I can assure you that you're not alone in enjoying running, it's great that you found it to be something so enjoyable. Running is a great hobby for people who like to set goals for themselves, and it will be all the more rewarding for you as you achieve them.",0,0
223,606,3213,"This sounds like it was a great experience, and that you learned a lot. Good job!",0,0
224,607,3213,Engaging with people in the context of helping them out is always a rewarding experience! Excellent reflection.,0,0
225,540,3213,"It's great that you have the initiative to bring something like your band to life. The logistics of organizing a band don't seem as fun as performing, but your buckling down and doing them shows your passion for something you care about.",0,0
226,547,3213,This is an interesting and unique experience. Great reflection!,0,0
227,612,3213,"Having practical, hands-on skills is something that sets you apart. So does the problem solving you need to use those skills. Great reflection!",0,0
228,621,3213,"The Smokey Mountains region is gorgeous, and it's great that you were conscious of the value of living within your means by hiking it. Excellent reflection!",0,0
229,536,3213,"It's great that you got promoted, and in such a short span of time. It's always nice to be recognized for competence on the job, and rewarded accordingly. Great reflection!",0,0
230,544,3213,"THON is a truly special event, and one that's exclusive to your experience at Penn State. Excellent reflection.",0,0
231,486,3213,Great reflection! It sounds like it was a memorable experience that you learned a lot from.,1,0
232,489,3213,What an adventure! Great details.,1,0
233,624,3213,This is a great reflection! It's awesome that you still keep in touch with the people you participated with.,1,0
234,633,3213,"This sounds like a huge commitment, and one that was hugely rewarding. Excellent job!",1,0
236,473,3213,"It's great that you got to be involved in THON! It's truly unique to the Penn State experience, and there are so many ways to make a difference. It sounds like you made the most of your first year of involement!",1,0
237,476,3213,A long term commitment to any activity is admirable. The volunteering experiences and skills you learned along the way are irreplaceable. Great reflection!,1,0
238,686,3213,It's cool that your interest in hospitality has so much personal history to it. Great reflection!,1,0
239,658,3213,This sounds like it was a fun time. Good reflection!,0,0
240,657,3213,"Good experience, but please elaborate some more.",0,0
241,632,3213,"THON is a great experience to have, especially as it is so unique to the Penn State experience. Great reflection!",0,0
242,643,3213,Studying abroad must have given you a wealth of experiences you wouldn't have had staying in the States. Excellent reflection.,0,0
243,532,3213,Your writing style is enjoyable to read. Good reflection!,1,0
244,533,3213,It's nice you were able to walk away from a loss without letting it get to you. Excellent reflection!,1,0
245,636,3213,This sounds like it was an awesome experience for developing and using your leadership skills. Great job!,0,0
246,640,3213,"This sounds like it was a fun time, and a good way to show other people some of your own background. Great reflection!",0,0
247,698,3213,Your enthusiasm for your involvements is obvious! Great reflection.,1,0
248,699,3213,It's cool that you were able to take the initiative here and make some real progress. Nice job!,1,0
249,493,3213,Great job! You did well elaborating on your time visiting the west coast.,0,0
250,512,3213,"Wow, you have a great testimony for why you THON. Excellent reflection on your personal experience.",0,0
251,479,3213,"Wow, most people can't say they've saved a life. This is a superb reflection.",0,0
252,480,3213,Marching band is full of lessons that come with it being an extended commitment during high school. Nice work on this reflection.,0,0
253,652,3213,Great reflection. It seems like it was a nice opportunity.,0,0
254,655,3213,It's cool that you can point to a specific experience that made you realize your dream of opening a restaurant. Best of luck as you pursue this dream!,0,0
255,469,3213,It sounds like it was a wonderful trip! Great reflection.,1,0
256,470,3213,You must have learned a lot from this experience. Nice work!,1,0
257,517,3213,"Wow, that must have taken a lot of time and effort! That it went so well is a testament to the careful preparation you put into it. Great reflection.",0,0
259,527,3213,"Sounds like it was a tough decision, but one that you grew from. Great reflection!",0,0
260,513,3213,Helping others while receiving nothing in return is supremely rewarding. It's great you had this opportunity! Good reflection.,0,0
262,614,3213,It sounds like you learned a valuable lesson from this experience. Nice job!,0,0
263,581,3213,Excellent! It sounds like you learned a lot from this experience.,0,0
264,578,3213,The best motivation for setting goals is succeeding at achieving your previous ones. Great work!,0,0
265,547,3212,"Awesome experience! You provided a lot of details and it seemed like you learned a lot. (Actually I'm going to the Arts Crawl this Friday:) 
PS: Pay attention to few typos",0,0
266,626,3212,Your experiences sound like they changed the way you understand the definition of boundaries. That kind of insight will certainly be useful as you pursue your future career.,0,0
267,544,3212,I enjoyed reading your reflection. You provided a lot of details and it seemed like you learned a lot!,0,0
268,599,3212,It sounds like you've learned a lot from the experience of running. That kind of insight will certainly be useful as you pursue your future career.,0,0
269,539,3212,Interesting title:) And it sounds like this was a memorable experience.,0,0
270,660,3212,Great reflection! It seemed like a nice opportunity where you got the chance to sharpen your presentation skills and network with people.,0,0
271,575,3212,Great reflection! It seems like you learned a lot from your experience of swimming. Pay attention to few typos though.,0,0
272,505,3212,"Your experiences sound like they changed the way you understand how to build on your leadership, which will certainly be useful as you pursue your future career.",1,0
273,566,3212,Awesome experiences! Try to elaborate more on your takeaways from this experience. You’re off to a great start.,0,0
274,548,3212,It is so cool that you've been a volunteer for Obama Campaign! Try to elaborate more on your takeaways from this experience.,0,0
275,638,3212,I enjoyed reading your reflection. It seemed like you learned a lot from this trip. Pay attention to few typos though.,0,0
277,594,3212,Excellent reflection! I like how you elaborated your experience as a yearbook staff and that experience will definitely be helpful for your future career.,0,0
278,576,3212,"Great experience! Also, it looks like you've learned a lot, which could definitely be useful for your future career.",0,0
279,647,3212,"Great experience! Try to elaborate more on your takeaways from this experience. Also, pay attention to few typos.",0,0
280,579,3212,"Great reflection! It sounds like you learned a lot in this experience, which for sure will be helpful for future career.",1,0
281,553,3212,Nice reflection! You provided a lot of details. Try to elaborate more on your takeaways from this experience.,1,0
283,627,3214,"It seems like you had a fun experience, and you learned a lot.",1,0
284,473,3214,I enjoyed reading your reflection. It seems like you learned a lot.,1,0
286,697,3214,Very well structured post. Your portfolio is coming along well.,1,0
287,662,3214,Try to elaborate more on your takeaways from this experience. You're off to a great start!,0,0
288,643,3214,"Excellent reflection, you provided a lot of detail and I found your experiences quite interesting.",0,0
290,537,3214,"You are a talented writer, keep up the great work!",1,0
291,663,3214,"It's always good to have 'reach goals', very good reflection.",1,0
292,678,3214,You are a talented writer. Keep up the great work.,1,0
293,690,3214,"I enjoyed reading your reflection, it seems like you learned a lot.",1,0
294,493,3214,Excellent point! It seems that you learned a lot from your experience!,0,0
295,492,3214,Very well structured post. Your portfolio is coming along well!,0,0
296,479,3214,"It seems like this was a memorable experience, great reflection!",0,0
297,478,3214,Very nice accomplishment! What a great opportunity for you,0,0
298,470,3214,"What a great experience and opportunity, I enjoyed this reflection.",1,0
299,468,3214,Very well structured post. It's always good to help others when you can. Your portfolio is coming along well!,1,0
300,507,3214,It seems like you got a lot out of this trip! Great reflection!,0,0
301,506,3214,Seems like a great cultural experience!,0,0
302,513,3214,"Work camp is always a good opportunity to help others, I enjoyed reading your reflection.",0,0
303,527,3214,"Both very elite universities, great reflection!",0,0
305,619,3214,"Great job, but please elaborate a little more.",0,0
306,578,3214,Excellent. You provided a lot of detail and I found your post to be interesting. We are!,0,0
309,659,3214,"What a great experience this must have been, nice post!",0,0
310,674,3214,"Great cultural experience, it seems like you learned a lot.",0,0
312,599,3214,"I enjoyed reading your reflection, it seems like you learned a lot!",0,0
313,539,3214,You are a talented writer. Keep up the great work!,0,0
314,591,3214,"Bartending is always a stressful environment, great reflection!",0,0
315,660,3214,Nice job! It seems that this was a diverse experience!,0,0
316,477,3214,"Wow, what a great experience you must've had, very nice post!",0,0
317,552,3214,Great cultural experience!,0,0
318,683,3214,Excellent. You provided a lot of detail and I found your experience to be very interesting!,1,0
319,676,3214,You are a talented writer. Great cultural take away!,1,0
323,574,3214,Great reflection! It seemed like a nice opportunity.,0,0
324,545,3214,"Very well structured post, your portfolio is coming along well. We are!",0,0
325,549,3214,It seems like this was a memorable experience giving back to the community.,0,0
326,638,3214,"Great cultural experience, I enjoyed reading your reflection.",0,0
330,594,3214,Excellent. Your provided a lot of detail and I found your experience quite interesting.,0,0
332,592,3214,You are a talented writer. Keep up the great work with your portfolio!,0,0
333,564,3214,"What a great cultural experience, it seems like you learned a lot!",0,0
336,560,3214,"Great job, try to elaborate more. Seems like a nice cultural experience!",1,0
337,588,3214,Nice job! It seems that you learned and have a diverse set of skills.,1,0
338,558,3214,Excellent. You provided a lot of detail and I found your experience quite interesting.,1,0
339,573,3214,Great reflection. It seemed like a nice opportunity with NHS.,1,0
342,624,3209,This sounds like an amazing experience. Being culturally informed and connected is a huge benefit to you as our work spaces become increasingly globalized.,1,0
343,514,3209,Being independent is a good thing! Keep taking risks and exploring opportunities - even if you have to do it alone. You'll (continue to) discover that it's okay to stand on your own to feet and you'll have more courage in doing so!,0,0
344,667,3209,Exploring and traveling will continue to teach you a lot about yourself as well as others. Don't stop exploring. Don't stop learning.,1,0
346,663,3209,Making connections like this one are so important in the industry. By taking the initiative to apply for this position you have set yourself ahead of others who may have looked at the qualifications and not applied. You now have your 'foot in the door' by having networked and made a contact at the company. Keep taking the initiative and it will pay off!,1,1
347,540,3209,What a unique experience in order to develop your problem solving and adaptability skills! This experience shows your leadership ability as well as taking initiative to make things happen.,0,1
348,592,3209,"Sometimes what seems like the scariest experiences can lead to the most rewarding ones! Being able to adapt to new situations is important and it sounds like you were able to make the most of your situation, learn, and grow!",0,1
349,612,3209,"What a unique experience to learn how to problem solve and be adaptable. This is a great example of showing how you work well with others, especially under pressure!",0,0
350,568,3209,Being able to 'see things from the other person's perspective' will help you go far in life - it also shows you are able to see more than one side/view to a situation.,1,0
420,126,3129,"Congratulations Kurt, if you get a chance let us know how the launch goes.  What is the biggest challenge and how did you solve it?",0,0
421,187,3129,Interesting comments for a stir fry dinner!  Who won the contest for eating the most?,0,0
422,155,3129,That is also the job I did for one summer many years ago.  Did you have any close calls falling off as I did?,1,0
423,264,3129,Interesting how such a small social event can build bonds to create a better team.,1,0
424,185,3129,"Good comments.  In the engineering world ideas can be relatively easy to come by, but the execution is not always so easy.",0,0
425,435,3129,Best of luck to you.  Did you cover the security aspect of this type of app?,1,0
426,732,3273,"Monica - it's great that you were able to recognize the importance of learning the strengths/skills of your teammates. In both the collegiate and (especially) the professional world, it's essential that you are able to quickly and effectively identify the strengths/weaknesses with those you are working with - whether they be your employees, peers, or senior to you. Another key is to be able to leverage those insights into making good decisions about team structure, communications, and tasks.",1,1
427,725,3273,"Jordan - time constraints are never fun! You get plenty of practice with individual time management in college, but it was nice to see you being in a situation where you all were dependent on each other, and had to use your communication and leadership skills to ensure you stayed on track. This is very representative of the working world, where you almost always are depending on work from other to complete your tasks, or someone is depending on you. Clear communication is crucial.",0,1
428,733,3273,"Manuel - good insight about being assertive and owning the interview. You definitely want to be an active participant. Also remember that an interview is just as much about finding out whether the company is a good fit for YOU, as it is them finding out if you'll be a good fit for that company. Be prepared, do your """"homework"""" on the company, and have meaningful, intelligent questions that make your interviewer think. Doing so can help show how well you think, while giving you useful information.",0,1
429,508,3275,"This is a good story, but doesn't seem to match the Community Service heading that I clicked on. So, under the Community Service tab maybe you can use a different example that shows some community service you participated in.",1,0
430,699,3275,"I am happy that you now include travelling in your set of interests. Visiting new places and being curious about new cultures and people is an excellent asset for working in the hospitality field. Plus, you can use your own travel experiences as a topic of conversation so as to better connect with guests, and as an ice breaker in social situations to ask about the travel experiences of others. Travel on!!!",1,1
431,698,3275,"Keep up the good work with children as you volunteer for things in the future. You will always learn something, just as you did in the story above.",1,0
432,628,3258,"Malvika, your resume is looking great - it is concise, clean and professional! Companies are looking for candidates who have experience like yours and can bring skill sets to their organization. All the best!",1,0
433,732,3258,Hi Monica! Your resume is looking good. May I recommend elaborating more on the skills you acquired during your internship? Tell me more about how you clarified internal medicine procedures. Describe your role in the treatment reviews. You may consider writing a story on your board about the internship and what skills you acquired to help organizations understand your skills sets more.,1,1
434,725,3258,"Hi Jordan, you have a great GPA and have identified some good skills.  Companies would value seeing your resume if you post, too.",0,0
435,735,3258,"Hi Nina, your resume highlights a lot of exposure and skills from your internship - great job at sharing these details and keep up the great work with the dean's list! A recommendation for your resume is to capture any additional interests, activities, clubs or additional languages you speak.",0,1
436,733,3258,"Hi Manuel, great job highlighting some of your key skills, organization and interests. Consider adding your resume - companies would be interested in accessing your resume through this page.",0,0
445,1028,3344,"Grant - Good reflection. As you continue group work throughout the rest of your time at Penn State and in other endeavors, consider the positives and negatives of strictly defined roles and goals. Can you think of an experience you have had where you were unable to step out of a defined role that limited you from experiences? Have you ever worked in a group that set goals that were too feasible to start with, thereby limiting the groups potential?",1,1
446,899,3344,"Natalie - Great observations and connections with the activity and plans for SHO Time moving forward. You mentioned that you believe that trust is the most important skill when it comes to making a team effective. How do you feel trust is built effectively within a team? How does the trust you have among a team you work with for a project differ from the trust you have in your friends? Is there a certain level of trust that needs to be reached within a group? If so, how is that level determined,",1,1
447,867,3344,"Alex - Nice job focusing on our discussion of the unexpected issues arising during the course of SHO Time, such as a student being unable to attend certain events. You mention that even if a scholar is unable to attend events, SHO Time is important in that it helps foster inter-student relationships through substantial conversation. How would you ensure that a student who, for one reason or another, is unable to attend certain events? How will you ensure that despite physically not being at cert",0,1
448,1032,3344,Joe - Great job referencing your experiences in your first-year CAS class. You mentioned the organizational meeting your team had towards the end of the project in order to iron out key details that needed to be addressed in order to make progress. How do you create the same kind of pressure artificially 5 weeks before a project is due? What role does getting to know the people with whom you are working serve in that meeting? Would assigning roles too early be detrimental to the creativity of th,0,1
